locality;property_type;property_subtype;price;sale_type;bedroom_count;bathroom_count;net_Habital_surface;kitchen;furnished;open_fire;terrace;terrace_surface;garden;garden_surface;land_surface;land_plot_surface;facade_count;pool;building_state
Haacht;HOUSE;APARTMENT_BLOCK;35000000;FOR_SALE;0;;;;;0;;;;;0;0;4;;
Havré;HOUSE;APARTMENT_BLOCK;15000000;FOR_SALE;100;;8800;{'surface': None, 'type': 'NOT_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;;;45000;0;4;;JUST_RENOVATED
HAVRE;HOUSE;HOUSE;15000000;FOR_SALE;70;;10000;;0;0;;;;;43300;0;;;
Overijse;HOUSE;CASTLE;9500000;FOR_SALE;12;8;1100;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;500000;0;4;1;AS_NEW
Overijse;HOUSE;CASTLE;9500000;FOR_SALE;7;6;1100;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;;;;;500000;0;4;1;GOOD
Saint-Josse-ten-Noode;HOUSE;APARTMENT_BLOCK;7750000;FOR_SALE;0;;3220;;;0;;;;;0;0;2;0;GOOD
Vlimmeren;HOUSE;MANOR_HOUSE;6800000;FOR_SALE;8;;1400;;0;0;;;;;229545;0;4;0;GOOD
KNOKKE-ZOUTE;HOUSE;VILLA;6650000;FOR_SALE;5;4;358;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;1;1023;1023;0;4;0;AS_NEW
Knokke-Heist;HOUSE;VILLA;6650000;FOR_SALE;5;4;294;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;883;1023;0;4;0;AS_NEW
Knokke-Heist Knokke;HOUSE;EXCEPTIONAL_PROPERTY;5900000;FOR_SALE;12;12;995;;;0;;;;;0;0;2;;
Oud-Turnhout;HOUSE;VILLA;5900000;FOR_SALE;7;5;1007;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;77055;0;4;1;AS_NEW
Knokke;HOUSE;HOUSE;5900000;FOR_SALE;0;;1000;;0;0;;;;;250;0;;0;
Kapellen;HOUSE;HOUSE;5850000;FOR_SALE;5;5;1130;{'surface': 21, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;9000;9312;0;4;1;AS_NEW
Knokke-Heist;HOUSE;EXCEPTIONAL_PROPERTY;5850000;FOR_SALE;6;5;305;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;1629;222;4;0;GOOD
Ixelles;HOUSE;HOUSE;5825000;FOR_SALE;4;2;873;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;;;;1340;0;3;;AS_NEW
Onhaye;HOUSE;CASTLE;5500000;FOR_SALE;14;9;2300;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;80;1;203900;206200;0;4;0;AS_NEW
Uccle;HOUSE;VILLA;5500000;FOR_SALE;6;6;1173;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;5705;0;4;;AS_NEW
Onhaye;HOUSE;CASTLE;5500000;FOR_SALE;14;9;2300;{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;206263;0;4;;GOOD
Ohey;HOUSE;EXCEPTIONAL_PROPERTY;5363000;FOR_SALE;4;1;490;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;;;;;580608;0;4;;TO_RENOVATE
Knokke-Heist;HOUSE;VILLA;5250000;FOR_SALE;5;5;368;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;1;1143;1143;0;4;1;AS_NEW
Schoten;HOUSE;VILLA;5000000;FOR_SALE;7;5;1500;{'surface': 30, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;;;1;16500;16750;750;4;0;GOOD
Antwerp;HOUSE;APARTMENT_BLOCK;5000000;FOR_SALE;0;;;;;0;;;;;0;0;;0;
Schilde;HOUSE;VILLA;5000000;FOR_SALE;3;2;1040;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;;;;32380;0;4;;
Aalst;HOUSE;MIXED_USE_BUILDING;5000000;FOR_SALE;0;;;;;0;;;;;0;0;2;;
Schilde;HOUSE;VILLA;4995000;FOR_SALE;5;3;625;;;0;1;;;;32390;625;4;;
Ixelles;HOUSE;HOUSE;4950000;FOR_SALE;5;5;570;{'surface': 15, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;1;80;1;100;300;0;3;1;AS_NEW
Forest;HOUSE;HOUSE;4950000;FOR_SALE;7;7;1100;{'surface': 20, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;1;19;4895;1500;4;1;AS_NEW
Knokke-Heist;APARTMENT;GROUND_FLOOR;4950000;FOR_SALE;4;3;188;{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;;;;;0;3;0;GOOD
Saint-Gilles;HOUSE;EXCEPTIONAL_PROPERTY;4950000;FOR_SALE;6;5;1500;{'surface': 225, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;0;1;81;1;3500;5000;1500;4;1;AS_NEW
Forest;HOUSE;EXCEPTIONAL_PROPERTY;4950000;FOR_SALE;6;6;800;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;100;;;4895;0;4;1;AS_NEW
Bruxelles;HOUSE;HOUSE;4950000;FOR_SALE;5;7;1100;{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};0;1;;;;;0;1500;4;1;AS_NEW
Tervuren;HOUSE;VILLA;4950000;FOR_SALE;6;5;750;{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None};;0;1;150;;;20000;0;4;1;GOOD
BRUXELLES;HOUSE;EXCEPTIONAL_PROPERTY;4950000;FOR_SALE;6;6;1100;;;1;1;200;;;4895;0;4;1;AS_NEW
