Duinbergen,HOUSE,HOUSE,845000,FOR_SALE,3,2,178,"{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,,True,,246,0,2,True,AS_NEW
Wilsele,HOUSE,VILLA,845000,FOR_SALE,8,3,560,"{'surface': 15, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,True,True,50,True,2300,2615,0,4,False,GOOD
Knokke-Heist,APARTMENT,APARTMENT,845000,FOR_SALE,3,2,,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,,,True,,,0,,False,
Putte,HOUSE,VILLA,845000,FOR_SALE,3,1,242,"{'surface': 24, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,,,True,,1112,0,4,False,AS_NEW
Ixelles,APARTMENT,APARTMENT,845000,FOR_SALE,3,1,161,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,11,,,,0,4,,
Leeuw-Saint-Pierre,HOUSE,VILLA,845000,FOR_SALE,5,2,415,"{'surface': 16, 'type': None, 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,38,True,6000,6100,280,4,True,
Charleroi,HOUSE,APARTMENT_BLOCK,845000,FOR_SALE,11,,400,"{'surface': 24, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,44,True,110,330,0,2,,JUST_RENOVATED
,,,,,,,,,,,,,,,,,,,
Uccle,APARTMENT,LOFT,845000,FOR_SALE,3,1,265,"{'surface': None, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,240,,,,0,3,False,GOOD
Ardooie,HOUSE,VILLA,845000,FOR_SALE,4,,246,"{'surface': None, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,,,,2589,0,,True,GOOD
Knokke,APARTMENT,APARTMENT,845000,FOR_SALE,3,2,104,,False,False,,,,,,0,2,False,
,,,,,,,,,,,,,,,,,,,
Gent,HOUSE,APARTMENT_BLOCK,845000,FOR_SALE,4,1,358,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,,,,298,0,2,False,TO_BE_DONE_UP
Arendonk,HOUSE,MIXED_USE_BUILDING,845000,FOR_SALE,6,2,530,"{'surface': 24, 'type': 'USA_HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",,False,True,40,,,1895,219,4,,GOOD
Modave,HOUSE,EXCEPTIONAL_PROPERTY,845000,FOR_SALE,6,2,300,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,1,True,1,5000,0,1,False,GOOD
Bruxelles,APARTMENT,PENTHOUSE,845000,FOR_SALE,3,1,260,"{'surface': 38, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,240,,,,0,,False,GOOD
Brussels City,APARTMENT,PENTHOUSE,845000,FOR_SALE,2,2,175,"{'surface': 11, 'type': 'HYPER_EQUIPPED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",False,False,True,82,,,,0,2,False,AS_NEW
